FID,OBJECTID,TYPE,CODE,Shape_Leng,CONST_CODE,Shape_Area,OBJECTID_1,NAME,OBJECTID_2,CONSTITUEN,COUNTY_ASS,SPOILT,COUNTY_A_1,REJECTED,REPORTED,SPOILT_VAL,VALID,DISPUTED,RESULT,COUNTY_COD,Shape_Le_1,COUNTY_NAM,Shape_Le_2,REGISTERED,X,Y
20641,20640,Other Tracks and Footpaths,5,0.009952000000000,231,0.009664264730000,977,BUNYALA SOUTH,4456,BUDALANGI,1155,0,BUNYALA SOUTH,0,2,0.000000000000000,54,0,1,40,0.466601375150000,BUSIA,0.466601375150000,6107,,
20645,20641,Other Tracks and Footpaths,5,0.003128000000000,231,0.009664264730000,977,BUNYALA SOUTH,4456,BUDALANGI,1155,0,BUNYALA SOUTH,0,2,0.000000000000000,54,0,1,40,0.466601375150000,BUSIA,0.466601375150000,6107,,
34388,34835,Loose Surface,2,0.176590000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34388,34835,Loose Surface,2,0.176590000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34390,34836,Loose Surface,2,0.030234000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34391,34837,Loose Surface,2,0.044171000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34406,34842,Loose Surface,2,0.045470000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34406,34842,Loose Surface,2,0.045470000000000,230,0.005134993030000,981,NAMBOBOTO NAMBUKU,4506,FUNYULA,1148,200,NAMBOBOTO NAMBUKU,304,14,0.045526974732529,4393,0,1,40,0.520015635900000,BUSIA,0.520015635900000,10154,,
34406,34842,Loose Surface,2,0.045470000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34407,34843,Loose Surface,2,0.049858000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34407,34843,Loose Surface,2,0.049858000000000,230,0.005134993030000,981,NAMBOBOTO NAMBUKU,4506,FUNYULA,1148,200,NAMBOBOTO NAMBUKU,304,14,0.045526974732529,4393,0,1,40,0.520015635900000,BUSIA,0.520015635900000,10154,,
34412,34844,Loose Surface,2,0.114828000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34412,34844,Loose Surface,2,0.114828000000000,230,0.005134993030000,981,NAMBOBOTO NAMBUKU,4506,FUNYULA,1148,200,NAMBOBOTO NAMBUKU,304,14,0.045526974732529,4393,0,1,40,0.520015635900000,BUSIA,0.520015635900000,10154,,
34491,34922,Other Tracks and Footpaths,5,0.015765000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34502,34923,Other Tracks and Footpaths,5,0.002937000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34751,34896,Other Tracks and Footpaths,5,0.039090000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34758,34897,Other Tracks and Footpaths,5,0.019503000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34765,34898,Other Tracks and Footpaths,5,0.013295000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34771,34899,Other Tracks and Footpaths,5,0.010067000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34771,34899,Other Tracks and Footpaths,5,0.010067000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34776,34900,Other Tracks and Footpaths,5,0.030999000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34782,34901,Main Track (Mortorable),4,0.032286000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34788,34902,Other Tracks and Footpaths,5,0.008441000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34795,34903,Other Tracks and Footpaths,5,0.022228000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34795,34903,Other Tracks and Footpaths,5,0.022228000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34801,34904,Other Tracks and Footpaths,5,0.016421000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34801,34904,Other Tracks and Footpaths,5,0.016421000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34807,34924,Other Tracks and Footpaths,5,0.017125000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34813,34905,Other Tracks and Footpaths,5,0.021592000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34818,34906,Other Tracks and Footpaths,5,0.008528000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34818,34906,Other Tracks and Footpaths,5,0.008528000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34824,34907,Other Tracks and Footpaths,5,0.027078000000000,230,0.006839590860000,976,AGENG'A NANGUBA,4445,FUNYULA,1150,72,AGENG'A NANGUBA,216,9,0.021595680863827,3334,0,1,40,0.449394815520000,BUSIA,0.449394815520000,8980,,
34829,34908,Other Tracks and Footpaths,5,0.041107000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
34839,34909,Other Tracks and Footpaths,5,0.006474000000000,230,0.004503266280000,962,NANGINA,4413,FUNYULA,1149,24,NANGINA,176,7,0.009623095429030,2494,0,1,40,0.397705419300000,BUSIA,0.397705419300000,6934,,
