schid,pup_pop,zoneid,z_inf98,distlake,latr_pup,mk96_s,z9899_78,z9899_34,z9899_56,wgrp,sch1_1km_original,sch2_1km_original,sch3_1km_original,schT_1km_original,pop1_1km_original,pop2_1km_original,pop3_1km_original,popT_1km_original,sch1_2km_original,sch2_2km_original,sch3_2km_original,schT_2km_original,pop1_2km_original,pop2_2km_original,pop3_2km_original,popT_2km_original,sch1_3km_original,sch2_3km_original,sch3_3km_original,schT_3km_original,pop1_3km_original,pop2_3km_original,pop3_3km_original,popT_3km_original,sch1_4km_original,sch2_4km_original,sch3_4km_original,schT_4km_original,pop1_4km_original,pop2_4km_original,pop3_4km_original,popT_4km_original,sch1_5km_original,sch2_5km_original,sch3_5km_original,schT_5km_original,pop1_5km_original,pop2_5km_original,pop3_5km_original,popT_5km_original,sch1_6km_original,sch2_6km_original,sch3_6km_original,schT_6km_original,pop1_6km_original,pop2_6km_original,pop3_6km_original,popT_6km_original,sch1_36k_original,sch2_36k_original,sch3_36k_original,schT_36k_original,pop1_36k_original,pop2_36k_original,pop3_36k_original,popT_36k_original,schT_1km_updated,popT_1km_updated,schT_2km_updated,popT_2km_updated,schT_3km_updated,popT_3km_updated,schT_4km_updated,popT_4km_updated,schT_5km_updated,popT_5km_updated,schT_6km_updated,popT_6km_updated,sch1_1km_updated,pop1_1km_updated,sch1_2km_updated,pop1_2km_updated,sch1_3km_updated,pop1_3km_updated,sch1_4km_updated,pop1_4km_updated,sch1_5km_updated,pop1_5km_updated,sch1_6km_updated,pop1_6km_updated,sch2_1km_updated,pop2_1km_updated,sch2_2km_updated,pop2_2km_updated,sch2_3km_updated,pop2_3km_updated,sch2_4km_updated,pop2_4km_updated,sch2_5km_updated,pop2_5km_updated,sch2_6km_updated,pop2_6km_updated,sch3_1km_updated,pop3_1km_updated,sch3_2km_updated,pop3_2km_updated,sch3_3km_updated,pop3_3km_updated,sch3_4km_updated,pop3_4km_updated,sch3_5km_updated,pop3_5km_updated,sch3_6km_updated,pop3_6km_updated,schT_36k_updated,popT_36k_updated,sch1_36k_updated,pop1_36k_updated,sch2_36k_updated,pop2_36k_updated,sch3_36k_updated,pop3_36k_updated
108,531,4,.5090909,2.964,.0056497175,-.51436818,.5,.82352942,.79591835,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,527.54071,81.548676,609.08936,0,1,1,2,0,527.54071,81.548676,609.08936,0,2,1,3,0,763.31287,81.548676,844.86157,0,3,2,5,0,1347.4609,671.92059,2019.3816,0,2,1,3,0,819.92023,590.37195,1410.2922,0,0,0,0,2,609.08942,2,609.08942,3,844.86163,5,2019.3815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,527.54071,1,527.54071,2,763.31293,3,1347.4609,0,0,0,0,1,81.548683,1,81.548683,1,81.548683,2,671.92059,3,1410.2922,0,0,2,819.92023,1,590.37189
109,603,3,.39583334,8.4139996,.0016583748,.64825106,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,1,0,0,1,272.07755,0,0,272.07755,4,0,0,4,1344.517,0,0,1344.517,4,0,0,4,1344.517,0,0,1344.517,5,0,3,8,1856.0525,0,1109.3173,2965.3696,5,0,3,8,1856.0525,0,1109.3173,2965.3696,1,0,3,4,511.53552,0,1109.3173,1620.8527,0,0,1,272.07751,4,1344.5168,6,2289.9011,9,3471.2422,9,3471.2422,0,0,1,272.07751,4,1344.5168,5,1856.0524,5,1856.0524,5,1856.0524,0,0,0,0,0,0,0,0,1,505.8725,1,505.8725,0,0,0,0,0,0,1,433.84879,3,1109.3174,3,1109.3174,5,2126.7251,1,511.53552,1,505.8725,3,1109.3174
115,560,1,.27247956,6.605,.0035714286,-.43559179,.21428572,.42292491,.3018868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,627.55469,392.33334,0,1019.8881,2,2,0,4,627.55469,898.09528,0,1525.6499,3,2,0,5,1110.2604,898.09528,0,2008.3557,3,2,0,5,1110.2604,898.09528,0,2008.3557,1,1,0,2,482.70569,505.76193,0,988.46765,0,0,1,609.84558,5,2088.4619,8,3281.8896,15,5615.502,16,6075.6392,0,0,0,0,2,627.55469,3,1110.2604,4,1394.3888,4,1394.3888,0,0,0,0,1,392.33331,2,898.09521,4,1799.0044,5,2259.1416,0,0,1,609.84558,2,1068.574,3,1273.5339,7,2422.1089,7,2422.1089,11,3987.1772,2,766.83411,4,1866.8083,5,1353.5349
116,526,5,.38425925,1.798,.0057034222,.0072243139,.43137255,.52222222,.48076922,2,0,0,0,0,0,0,0,0,0,1,0,1,0,228.76282,0,228.76282,1,2,1,4,376.59109,734.52472,292.07767,1403.1935,1,3,2,6,376.59109,821.3819,508.67142,1706.6444,2,3,4,9,775.60626,821.3819,1577.2454,3174.2334,3,3,5,11,1282.1852,821.3819,2011.0942,4114.6611,2,1,4,7,905.59412,86.857178,1719.0166,2711.4678,0,0,1,228.7628,4,1403.1936,7,2316.49,9,3174.2334,11,4114.6611,0,0,0,0,1,376.59109,1,376.59109,2,775.60632,3,1282.1852,0,0,1,228.7628,2,734.52472,3,821.38184,3,821.38184,3,821.38184,0,0,0,0,1,292.0777,3,1118.5171,4,1577.2454,5,2011.0941,7,2711.468,2,905.59412,1,86.857117,4,1719.0164
117,244,5,.38425925,9.0579996,.0081967209,-1.3017366,.43137255,.52222222,.48076922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,203.64944,1020.106,168.43285,1392.1884,3,2,2,7,1130.3392,1020.106,602.28162,2752.7268,4,2,2,8,1380.5938,1020.106,602.28162,3002.9814,4,4,3,11,1380.5938,1423.2489,793.24713,3597.0898,3,2,2,7,1176.9443,403.14288,624.81427,2204.9014,0,0,0,0,4,1392.1882,7,2752.7268,8,3002.9814,11,3597.0898,0,0,0,0,1,203.6494,3,1130.3391,4,1380.5936,4,1380.5936,0,0,0,0,2,1020.106,2,1020.106,2,1020.106,4,1423.2488,0,0,0,0,1,168.4328,2,602.28162,2,602.28162,3,793.24707,7,2204.9014,3,1176.9442,2,403.14276,2,624.81427
118,566,5,.38425925,10.423,.0035335689,.20428106,.43137255,.52222222,.48076922,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,464.43231,0,168.43285,632.86517,2,0,2,4,464.43231,0,359.39835,823.83069,3,2,3,8,668.08179,830.51923,793.24713,2291.8481,5,3,3,11,1594.7716,1124.2423,793.24713,3512.261,3,3,2,8,1130.3394,1124.2423,624.81427,2879.3958,0,0,0,0,3,632.86511,5,1140.1163,8,2291.8479,13,4053.999,0,0,0,0,2,464.43231,2,464.43231,3,668.08173,5,1594.7714,0,0,0,0,0,0,1,316.28571,2,830.51923,3,1124.2424,0,0,0,0,1,168.4328,2,359.39832,3,793.24707,5,1334.9851,10,3421.134,3,1130.3391,3,1124.2424,4,1166.5522
119,675,6,.41836736,11.711,.002962963,.20533262,.40944883,.52459013,.45945945,2,1,0,0,1,284.12845,0,0,284.12845,2,0,1,3,766.83411,0,204.95999,971.79407,4,0,1,5,1548.9639,0,204.95999,1753.9238,5,0,2,7,1682.5433,0,536.19147,2218.7349,7,1,3,11,2462.7263,392.33334,850.95081,3706.0105,7,1,3,11,2462.7263,392.33334,850.95081,3706.0105,3,1,2,6,913.76245,392.33334,645.99084,1952.0867,1,284.12839,3,971.79413,5,1753.9238,8,2533.4939,12,4212.5889,15,5061.3198,1,284.12839,2,766.83411,4,1548.9639,5,1682.5432,8,2969.3049,9,3284.1218,0,0,0,0,0,0,0,0,1,392.33331,1,392.33331,0,0,1,204.96001,1,204.96001,3,850.95068,3,850.95068,5,1384.8649,10,3307.3962,5,1735.158,1,392.33331,4,1179.9049
133,14,3,.39583334,,,-.82672077,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,1,0,0,1,291.09415,0,0,291.09415,1,2,0,3,291.09415,1250.7385,0,1541.8326,2,2,2,6,846.81714,1250.7385,809.74695,2907.3027,3,4,4,11,1224.0454,1815.8831,1596.1967,4636.125,3,4,4,11,1224.0454,1815.8831,1596.1967,4636.125,2,2,4,8,932.95129,565.14453,1596.1967,3094.2925,0,0,1,291.09409,3,1541.833,8,3693.7527,15,6202.9448,17,7314.6338,0,0,1,291.09409,1,291.09409,2,846.81714,5,1933.3715,5,1933.3715,0,0,0,0,2,1250.739,2,1250.739,4,1815.8837,6,2927.5723,0,0,0,0,0,0,4,1596.1968,6,2453.6897,6,2453.6897,14,5772.8008,4,1642.2773,4,1676.8333,6,2453.6897
134,15,3,.39583334,5.5830002,,-.76125419,.32380953,.53797466,.42105263,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,219.375,219.375,2,1,1,4,1067.2584,14,219.375,1300.6334,4,1,3,8,1556.1432,14,1192.6472,2762.7905,4,2,4,10,1556.1432,1250.0415,1583.9034,4390.0879,4,2,5,11,1556.1432,1250.0415,1863.3175,4669.502,2,1,4,7,488.88477,1236.0415,1643.9425,3368.8687,0,0,1,219.375,4,1300.6334,8,2762.7905,10,4390.0884,14,5767.7251,0,0,0,0,2,1067.2584,4,1556.1432,4,1556.1432,5,1828.2207,0,0,0,0,1,14,1,14,2,1250.042,3,1485.8142,0,0,1,219.375,1,219.375,3,1192.6473,4,1583.9034,6,2453.6897,10,4467.0908,3,760.96228,2,1471.8142,5,2234.3147
140,509,1,.27247956,6.427,.0058939094,.41114995,.21428572,.42292491,.3018868,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,751.37897,708.61908,826.43933,2286.4375,2,3,4,9,751.37897,1214.381,1443.6611,3409.4211,4,3,4,11,1384.3882,1214.381,1443.6611,4042.4302,4,3,4,11,1384.3882,1214.381,1443.6611,4042.4302,2,1,2,5,633.00922,505.7619,617.2218,1755.9927,0,0,0,0,6,2286.437,9,3409.4211,15,5095.1489,20,6627.0205,0,0,0,0,2,751.37891,2,751.37891,4,1384.3882,5,1867.0938,0,0,0,0,2,708.61902,3,1214.3809,5,1761.3752,7,2171.7327,0,0,0,0,2,826.43939,4,1443.6613,6,1949.386,8,2588.1948,14,4340.584,3,1115.7148,5,1463.1136,6,1761.7554
