sch98v1,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
295,.77147764,0,.85589522,.27620432,1.4930379,0,0,0,0,.0021834061,.11135371,.1069869,.15283842,.13537118,.12663755,.1091703,.11572053,.087336242,.33964095,.083939835,0,0,0,1997.3601,584.62341,2786.9434,0,3,1746,0,1,.67392617,.9916283673594122,Treated,On support,1,.6739261746406555,49,25,1,.1648105714716462,-.097551465,0,1164.6685,.2,.06666667,.16470589
272,.95031971,0,.85910654,.50309372,.30728191,0,0,0,0,.0017182131,.097938143,.17697595,.15292096,.12199312,.14261168,.08419244,.091065295,.08419244,.30469644,.083428793,0,0,86.85714,1715.7655,2025.2917,5775.1816,86.85714,3,2033,0,1,.67392617,.9702026784724381,Treated,On support,1,.6739261746406555,48,25,1,.1433848825846722,-.27639353,0,1164.6685,.2,.06666667,.16470589
201,.8093043,0,.87857145,.48071411,-.37482387,0,0,0,0,0,.11285714,.17857143,.13142857,.13428572,.088571429,.071428575,.12,.11428571,.28777778,.090952381,0,0,0,2406.0364,1865.8296,5670.7402,391.2562,3,2386,0,1,.89214253,.6091763399023373,Treated,On support,1,.8921425342559814,39,21,1,.0490575674322651,.082838237,0,1164.6685,.2,.06666667,.16470589
291,.95498395,0,.85813951,.49063194,.018520299,0,0,0,0,0,.048837211,.12790698,.12790698,.13953489,.17906977,.1,.088372096,.12325581,.31782946,.083979331,0,420.01611,0,671.95044,1239.6438,2440.5972,420.01611,3,1555,0,1,.89214253,.5705520377169643,Treated,On support,1,.8921425342559814,36,21,1,.010433265246892,-.062841415,0,1164.6685,.2,.06666667,.16470589
108,.6722818,0,.89380533,.79438961,-.26942801,.77777779,0,0,0,.1840708,.21415929,.10973451,.10973451,.069026552,.11150443,.067256637,.054867256,.054867256,.4145526,.099115044,0,0,527.54071,0,819.92023,1410.2922,609.08942,3,2612,0,1,.96020871,.5059839517327204,Treated,On support,1,.9602087140083313,33,18,1,.0211798845888133,.28792691,1,1164.6685,.2,.06666667,.89999998
271,.69726563,0,.89123374,.29028365,.13371977,0,0,0,0,0,.13798702,.19155844,.14935064,.13474026,.095779218,.10064935,.073051944,.076298699,0,.092352092,0,0,590.24976,861.07159,1385.4917,2786.5691,806.68695,3,512,0,1,.77856582,.3442107079310374,Treated,On support,1,.7785658240318298,28,14,1,.0214722027668347,.081300199,0,1164.6685,.2,.06666667,.16470589
266,.72727275,0,.90625,.36186269,.1696814,0,0,0,0,.0069444445,.045138888,.1736111,.15277778,.13541667,.097222224,.13194445,.097222224,.09375,.30671296,.083719134,0,0,86.85714,1378.2245,2409.1533,5347.1812,837.66321,3,1012,0,1,.82798004,.4096177181351828,Treated,On support,1,.8279800415039063,29,15,1,.0149697402711457,.10070729,0,1164.6685,.2,.06666667,.16470589
144,.64733398,0,.90322578,.50026804,-.080350958,0,.77777779,0,0,.064516127,.12903225,.21198156,.11520737,.096774191,.11520737,.069124423,.059907835,.055299539,.45161289,.095750131,0,671.95044,181.5945,1431.6501,1538.3892,4665.0664,853.54492,3,1069,0,1,.67392617,.9214343439462938,Treated,On support,1,.6739261746406555,46,25,1,.0946165480585278,.026592195,1,1164.6685,.2,.06666667,.89999998
261,.88343561,0,.89655173,.37128094,.13288713,0,0,0,0,0,.11637931,.19396552,.14655173,.12068965,.086206898,.10775862,.10344828,.05172414,.22701149,.085249044,0,250.2545,316.28571,458.97778,1373.5234,3199.7854,891.68445,3,652,0,1,.89214253,.6026310542133819,Treated,On support,1,.8921425342559814,38,21,1,.0425122817433097,.0087069273,0,1164.6685,.2,.06666667,.16470589
278,.85970151,0,.91457283,.50560129,-.56303364,0,0,0,0,.0050251256,.015075377,.27135679,.14070351,.14572865,.17085427,.055276383,.070351757,.070351757,.28029034,.093802348,0,417.82721,505.8725,1176.9441,514.23352,2315.9919,923.69971,3,670,0,1,.67392617,.8593977416946682,Treated,On support,1,.6739261746406555,43,25,1,.0325799458069023,-.18577534,0,1164.6685,.2,.06666667,.16470589
