sch98v1,age_mean,male_prop,schid,pup_pop,zoneid,prs,t1,elg98,p1,mk96_s,Y98sap1,Y98sap2,Y98sap3,Y98sap4,Istd1,Istd2,Istd3,Istd4,Istd5,Istd6,Istd7,Istd8,Istd9,Isem1,Isem2,Isem3,pop1_3km_updated,pop2_3km_updated,pop1_36k_updated,pop2_36k_updated,popT_36k_updated,popT_3km_updated,wgrp,obs,treatment,control,matched_out,_pscore,_treated,_support,_weight,_prs,_id,_n1,_nn,_pdif,treat_effect,sap_any,pop_3km_pctile,incl_prob1,incl_prob1_alt,incl_prob2
295,13.076305220883533,0.5180722891566265,295,387,7,0.77147764,0,0.85589522,0.27620432,1.4930379,0,0,0,0,0.0021834061,0.11135371,0.1069869,0.15283842,0.13537118,0.12663755,0.1091703,0.11572053,0.087336242,0.33964095,0.083939835,0,0,0,1997.3601,584.62341,2786.9434,0,3,1746,0,1,0.67392617,0.9916283673594122,Treated,On support,1,0.6739261746406555,49,25,1,0.1648105714716462,-0.097551465,0,1164.6685,0.2,0.06666667,0.16470589
272,13.314410480349345,0.4759825327510917,272,505,5,0.95031971,0,0.85910654,0.50309372,0.30728191,0,0,0,0,0.0017182131,0.097938143,0.17697595,0.15292096,0.12199312,0.14261168,0.08419244,0.091065295,0.08419244,0.30469644,0.083428793,0,0,86.85714,1715.7655,2025.2917,5775.1816,86.85714,3,2033,0,1,0.67392617,0.9702026784724381,Treated,On support,1,0.6739261746406555,48,25,1,0.1433848825846722,-0.27639353,0,1164.6685,0.2,0.06666667,0.16470589
201,NA,0.5061224489795918,201,577,3,0.8093043,0,0.87857145,0.48071410999999997,-0.37482387,0,0,0,0,0,0.11285714,0.17857143,0.13142857,0.13428572,0.088571429,0.071428575,0.12,0.11428571,0.28777778,0.090952381,0,0,0,2406.0364,1865.8296,5670.7402,391.2562,3,2386,0,1,0.89214253,0.6091763399023373,Treated,On support,1,0.8921425342559814,39,21,1,0.0490575674322651,0.082838237,0,1164.6685,0.2,0.06666667,0.16470589
291,12.780373831775702,0.4672897196261682,291,395,6,0.95498395,0,0.85813951,0.49063194,0.018520299,0,0,0,0,0,0.048837211,0.12790698,0.12790698,0.13953489,0.17906977,0.1,0.088372096,0.12325581,0.31782946,0.083979331,0,420.01611,0,671.95044,1239.6438,2440.5972,420.01611,3,1555,0,1,0.89214253,0.5705520377169643,Treated,On support,1,0.8921425342559814,36,21,1,0.010433265246892,-0.062841415,0,1164.6685,0.2,0.06666667,0.16470589
108,13.585365853658537,0.6280487804878049,108,531,4,0.6722818,0,0.89380533,0.79438961,-0.26942801,0.77777779,0,0,0,0.1840708,0.21415929,0.10973451,0.10973451,0.069026552,0.11150443,0.067256637,0.054867256,0.054867256,0.4145526,0.099115044,0,0,527.54071,0,819.92023,1410.2922,609.08942,3,2612,0,1,0.96020871,0.5059839517327204,Treated,On support,1,0.9602087140083313,33,18,1,0.0211798845888133,0.28792691,1,1164.6685,0.2,0.06666667,0.89999998
271,13.08433734939759,0.5502008032128514,271,505,8,0.69726563,0,0.89123374,0.29028365,0.13371977,0,0,0,0,0,0.13798702,0.19155844,0.14935064,0.13474026,0.095779218,0.10064935,0.073051944,0.076298699,0,0.092352092,0,0,590.24976,861.07159,1385.4917,2786.5691,806.68695,3,512,0,1,0.77856582,0.3442107079310374,Treated,On support,1,0.7785658240318298,28,14,1,0.0214722027668347,0.081300199,0,1164.6685,0.2,0.06666667,0.16470589
266,NA,0.5413533834586466,266,239,1,0.72727275,0,0.90625,0.36186269,0.1696814,0,0,0,0,0.0069444445,0.045138888,0.1736111,0.15277778,0.13541667,0.097222224,0.13194445,0.097222224,0.09375,0.30671296,0.083719134,0,0,86.85714,1378.2245,2409.1533,5347.1812,837.66321,3,1012,0,1,0.82798004,0.4096177181351828,Treated,On support,1,0.82798004150390625,29,15,1,0.0149697402711457,0.10070729,0,1164.6685,0.2,0.06666667,0.16470589
144,12.505263157894737,0.4631578947368421,144,231,6,0.64733398,0,0.90322578,0.50026804,-0.080350958,0,0.77777779,0,0,0.064516127,0.12903225,0.21198156,0.11520737,0.096774191,0.11520737,0.069124423,0.059907835,0.055299539,0.45161289,0.095750131,0,671.95044,181.5945,1431.6501,1538.3892,4665.0664,853.54492,3,1069,0,1,0.67392617,0.9214343439462938,Treated,On support,1,0.6739261746406555,46,25,1,0.0946165480585278,0.026592195,1,1164.6685,0.2,0.06666667,0.89999998
261,12.904761904761905,0.5238095238095238,261,213,1,0.88343561,0,0.89655173,0.37128094,0.13288713,0,0,0,0,0,0.11637931,0.19396552,0.14655173,0.12068965,0.086206898,0.10775862,0.10344828,0.05172414,0.22701149,0.085249044,0,250.2545,316.28571,458.97778,1373.5234,3199.7854,891.68445,3,652,0,1,0.89214253,0.6026310542133819,Treated,On support,1,0.8921425342559814,38,21,1,0.0425122817433097,0.0087069273,0,1164.6685,0.2,0.06666667,0.16470589
278,12.820224719101123,0.5280898876404494,278,185,5,0.85970151,0,0.91457283,0.50560129,-0.56303364,0,0,0,0,0.0050251256,0.015075377,0.27135679,0.14070351,0.14572865,0.17085427,0.055276383,0.070351757,0.070351757,0.28029034,0.093802348,0,417.82721,505.8725,1176.9441,514.23352,2315.9919,923.69971,3,670,0,1,0.67392617,0.8593977416946682,Treated,On support,1,0.6739261746406555,43,25,1,0.0325799458069023,-0.18577534,0,1164.6685,0.2,0.06666667,0.16470589
